SPICY_ID,Objname,RAdeg,DEdeg,YSO_CLASS,LCType,VarClass1
55912,SPICY_55912,262.62145833333335,-27.105722222222223,ClassII,Linear(+),linear(+)
57497,SPICY_57497,263.86429166666665,-25.71638888888889,FS,Linear(+),linear(+)
58733,SPICY_58733,264.8400833333333,-28.714666666666666,FS,Linear(+),linear(+)
59049,SPICY_59049,265.1727916666667,-29.449722222222224,ClassII,Linear(+),linear(+)
62038,SPICY_62038,266.39845833333334,-26.532,ClassII,Linear(+),linear(+)
63130,SPICY_63130,266.64091666666667,-29.37913888888889,ClassI,Linear(+),linear(+)
63579,SPICY_63579,266.7447916666667,-24.043000000000003,ClassII,Linear(+),linear(+)
67084,SPICY_67084,267.68354166666666,-27.388666666666666,FS,Linear(+),linear(+)
67831,SPICY_67831,268.1983333333333,-26.6455,ClassII,Linear(+),linear(+)
68982,SPICY_68982,269.0255833333333,-28.77875,ClassII,Linear(+),linear(+)
69303,SPICY_69303,269.2710833333333,-26.507277777777777,ClassI,Linear(+),linear(+)
70239,SPICY_70239,269.9103333333333,-18.924,ClassI,Linear(+),linear(+)
72191,SPICY_72191,270.9105,-24.95738888888889,ClassI,Linear(+),linear(+)
73078,SPICY_73078,271.29133333333334,-29.02311111111111,ClassII,Linear(+),linear(+)
73530,SPICY_73530,271.50208333333336,-29.360472222222224,ClassII,Linear(+),linear(+)
77176,SPICY_77176,273.431375,-18.62177777777778,ClassI,Linear(+),linear(+)
78244,SPICY_78244,273.88754166666666,-17.420333333333335,ClassII,Linear(+),linear(+)
78921,SPICY_78921,274.22358333333335,-15.860583333333333,ClassII,Linear(+),linear(+)
78991,SPICY_78991,274.242125,-16.73752777777778,ClassII,Linear(+),linear(+)
80035,SPICY_80035,274.52845833333333,-16.85552777777778,FS,Linear(+),linear(+)
80270,SPICY_80270,274.57795833333336,-14.53813888888889,ClassII,Linear(+),linear(+)
80636,SPICY_80636,274.6669166666667,-13.783555555555555,ClassII,Linear(+),linear(+)
80928,SPICY_80928,274.7362083333333,-13.208138888888888,ClassII,Linear(+),linear(+)
81089,SPICY_81089,274.7805416666667,-13.756555555555556,ClassI,Linear(+),linear(+)
81408,SPICY_81408,274.87241666666665,-14.722416666666668,ClassII,Linear(+),linear(+)
81671,SPICY_81671,274.98975,-16.20138888888889,ClassII,Linear(+),linear(+)
81866,SPICY_81866,275.07820833333335,-14.056222222222223,ClassII,Linear(+),linear(+)
81957,SPICY_81957,275.1367916666667,-16.02583333333333,FS,Linear(+),linear(+)
82281,SPICY_82281,275.314375,-16.54325,ClassII,Linear(+),linear(+)
83063,SPICY_83063,275.86108333333334,-15.12325,FS,Linear(+),linear(+)
83430,SPICY_83430,276.263,-14.988444444444443,ClassII,Linear(+),linear(+)
84445,SPICY_84445,277.07479166666667,-10.782444444444446,ClassI,Linear(+),linear(+)
87196,SPICY_87196,278.83704166666666,-7.378027777777778,FS,Linear(+),linear(+)
88455,SPICY_88455,279.4675,-1.2240833333333334,FS,Linear(+),linear(+)
88599,SPICY_88599,279.54520833333333,-5.074888888888888,ClassII,Linear(+),linear(+)
88685,SPICY_88685,279.60183333333333,-7.266944444444444,ClassII,Linear(+),linear(+)
90156,SPICY_90156,280.7079166666667,-3.600416666666667,FS,Linear(+),linear(+)
91293,SPICY_91293,281.5391666666667,-1.4336944444444444,FS,Linear(+),linear(+)
91707,SPICY_91707,281.764125,-2.0901111111111113,ClassII,Linear(+),linear(+)
92071,SPICY_92071,281.9297916666667,-3.3383611111111113,ClassII,Linear(+),linear(+)
92667,SPICY_92667,282.33095833333334,-2.5805277777777778,ClassI,Linear(+),linear(+)
93090,SPICY_93090,282.63283333333334,1.110277777777778,ClassII,Linear(+),linear(+)
93158,SPICY_93158,282.69958333333335,0.14819444444444443,ClassII,Linear(+),linear(+)
94900,SPICY_94900,283.99275,2.529916666666667,FS,Linear(+),linear(+)
95024,SPICY_95024,284.1039166666667,3.0877777777777777,FS,Linear(+),linear(+)
95031,SPICY_95031,284.107875,1.8012222222222223,FS,Linear(+),linear(+)
95397,SPICY_95397,284.3344583333333,1.9533888888888888,ClassII,Linear(+),linear(+)
95641,SPICY_95641,284.5145,1.6470555555555555,ClassII,Linear(+),linear(+)
96423,SPICY_96423,284.98291666666665,4.450833333333334,ClassI,Linear(+),linear(+)
97578,SPICY_97578,286.095375,5.454777777777778,ClassII,Linear(+),linear(+)
98196,SPICY_98196,286.67158333333333,7.252361111111111,FS,Linear(+),linear(+)
99022,SPICY_99022,287.57895833333333,10.296833333333334,ClassI,Linear(+),linear(+)
99083,SPICY_99083,287.63558333333333,9.788972222222222,ClassII,Linear(+),linear(+)
99206,SPICY_99206,287.756625,10.075722222222222,ClassII,Linear(+),linear(+)
99341,SPICY_99341,287.911625,9.04975,ClassII,Linear(+),linear(+)
100017,SPICY_100017,288.7935,11.149111111111111,ClassII,Linear(+),linear(+)
101529,SPICY_101529,290.58858333333336,14.789305555555556,FS,Linear(+),linear(+)
101577,SPICY_101577,290.615375,14.32861111111111,ClassII,Linear(+),linear(+)
102562,SPICY_102562,291.3958333333333,14.020833333333334,FS,Linear(+),linear(+)
104726,SPICY_104726,293.6399166666667,21.545972222222225,ClassII,Linear(+),linear(+)
105692,SPICY_105692,295.04879166666666,20.983777777777778,ClassII,Linear(+),linear(+)
105840,SPICY_105840,295.3894583333333,23.02611111111111,ClassI,Linear(+),linear(+)
105919,SPICY_105919,295.544625,23.733055555555556,ClassII,Linear(+),linear(+)
105944,SPICY_105944,295.59108333333336,23.06875,FS,Linear(+),linear(+)
107303,SPICY_107303,297.8876666666667,27.04827777777778,FS,Linear(+),linear(+)
107615,SPICY_107615,298.81120833333335,27.56297222222222,FS,Linear(+),linear(+)
107763,SPICY_107763,304.21483333333333,39.003305555555556,ClassI,Linear(+),linear(+)
108804,SPICY_108804,305.673625,37.33086111111111,ClassII,Linear(+),linear(+)
109142,SPICY_109142,306.02520833333335,40.969722222222224,ClassII,Linear(+),linear(+)
109235,SPICY_109235,306.09325,42.25675,ClassI,Linear(+),linear(+)
109244,SPICY_109244,306.0974166666667,39.63502777777778,ClassII,Linear(+),linear(+)
109473,SPICY_109473,306.21416666666664,38.420361111111106,ClassI,Linear(+),linear(+)
109892,SPICY_109892,306.5788333333333,39.97113888888889,FS,Linear(+),linear(+)
110295,SPICY_110295,306.87654166666664,37.220111111111116,ClassII,Linear(+),linear(+)
110576,SPICY_110576,307.12775,39.11691666666667,ClassI,Linear(+),linear(+)
111046,SPICY_111046,307.515,41.771972222222225,FS,Linear(+),linear(+)
112196,SPICY_112196,308.15345833333333,39.890972222222224,ClassI,Linear(+),linear(+)
112261,SPICY_112261,308.18670833333334,41.20783333333333,ClassII,Linear(+),linear(+)
112709,SPICY_112709,308.4067083333333,41.15033333333333,ClassII,Linear(+),linear(+)
114622,SPICY_114622,309.6822916666667,42.112722222222224,ClassII,Linear(+),linear(+)
115161,SPICY_115161,310.05583333333334,42.915749999999996,FS,Linear(+),linear(+)
115599,SPICY_115599,310.538125,42.17977777777777,ClassI,Linear(+),linear(+)
116538,SPICY_116538,336.4454166666667,57.58175000000001,ClassI,Linear(+),linear(+)
116871,SPICY_116871,338.87195833333334,59.39958333333333,ClassI,Linear(+),linear(+)
116947,SPICY_116947,339.33225,58.61022222222223,ClassI,Linear(+),linear(+)
117156,SPICY_117156,341.857,59.09377777777778,ClassI,Linear(+),linear(+)
117207,SPICY_117207,342.475875,61.340500000000006,ClassI,Linear(+),linear(+)
